,altitude,cidade,codestacao,codibge,cota_alerta,cota_atencao,cota_transbordamento,data_instalacao,dh_cadastro,dh_inicio_inativo,dh_ultima_remessa,id_estacao,id_rede,id_tipoestacao,latitude,longitude,nome,offset,rede_sigla,tipoestacao_descricao,uf
0,0.0,RIO DE JANEIRO,330455734A,3304557,,,,2015-04-17 13:23:58.932,2015-04-17 13:23:58.932,2024-03-26 20:45:51.749,2024-03-26 18:40:24.000,7615,11,1,-22.7613,-43.1084,Ilha de Paquetá,,CEMADEN,Pluviométrica,RJ
1,0.0,RIO DE JANEIRO,330455733A,3304557,,,,2015-05-22 11:03:39.609,2015-05-22 11:03:39.609,2025-05-24 03:35:26.360,2025-09-09 11:30:21.000,7614,11,1,-22.875,-43.299,Pilares,,CEMADEN,Pluviométrica,RJ
2,0.0,RIO DE JANEIRO,330455732A,3304557,,,,2015-05-26 13:12:55.735,2015-05-26 13:12:55.735,2025-06-26 06:26:19.726,2025-09-09 11:20:27.000,7613,11,1,-22.869,-43.265,Higienópolis,,CEMADEN,Pluviométrica,RJ
3,0.0,RIO DE JANEIRO,330455731A,3304557,,,,2015-03-04 20:17:58.835,2015-03-04 20:17:58.835,2025-06-26 07:16:09.334,2025-09-09 11:10:29.000,7612,11,1,-22.948,-43.258,Usina,,CEMADEN,Pluviométrica,RJ
4,0.0,RIO DE JANEIRO,330455730A,3304557,,,,2015-05-20 13:03:35.902,2015-05-20 13:03:35.902,2025-09-03 13:04:55.200,2025-09-03 11:02:56.000,7611,11,1,-22.943,-43.241,Tijuca,,CEMADEN,Pluviométrica,RJ
5,0.0,RIO DE JANEIRO,330455729A,3304557,,,,2015-08-20 12:31:52.784,2015-08-20 12:31:52.784,2025-08-05 15:14:16.114,2025-09-09 11:40:30.000,7610,11,1,-22.9666,-43.2965,Alto da Boa Vista,,CEMADEN,Pluviométrica,RJ
6,0.0,RIO DE JANEIRO,330455728A,3304557,,,,2015-05-15 12:53:15.827,2015-05-15 12:53:15.827,2025-05-28 22:07:38.597,2025-09-09 11:00:21.000,7609,11,1,-22.86086,-43.30756,Vicente de Carvalho,,CEMADEN,Pluviométrica,RJ
7,0.0,RIO DE JANEIRO,330455726A,3304557,,,,2015-02-20 14:31:36.673,2015-02-20 14:31:36.673,2023-06-27 18:52:25.122,2023-06-27 16:50:00.000,7607,11,1,-22.894,-43.676,Defesa Civil Santa Cruz,,CEMADEN,Pluviométrica,RJ
8,0.0,RIO DE JANEIRO,330455725A,3304557,,,,2015-05-04 13:35:59.398,2015-05-04 13:35:59.398,2025-06-26 06:44:45.865,2025-09-09 11:40:26.000,7606,11,1,-22.8131,-43.3101,Vigário Geral,,CEMADEN,Pluviométrica,RJ
9,0.0,RIO DE JANEIRO,330455724A,3304557,,,,2015-05-04 14:11:06.152,2015-05-04 14:11:06.152,2025-09-05 11:38:23.659,2025-09-09 11:30:00.000,7605,11,1,-22.8076,-43.3584,Pavuna,,CEMADEN,Pluviométrica,RJ
10,0.0,RIO DE JANEIRO,330455722A,3304557,,,,2015-05-26 14:20:15.064,2015-05-26 14:20:15.064,2025-08-26 11:13:10.581,2025-09-09 11:10:00.000,7603,11,1,-22.923,-43.176,Catete,,CEMADEN,Pluviométrica,RJ
11,0.0,RIO DE JANEIRO,330455721A,3304557,,,,2015-05-26 13:34:42.170,2015-05-26 13:34:42.170,2025-09-03 13:15:08.103,2025-09-03 11:05:30.000,7602,11,1,-22.995,-43.269,São Conrado,,CEMADEN,Pluviométrica,RJ
12,0.0,RIO DE JANEIRO,330455720A,3304557,,,,2015-05-14 12:57:54.207,2015-05-14 12:57:54.207,2025-02-26 19:15:51.543,2025-02-26 17:10:25.000,7601,11,1,-22.796,-43.203,CIEP Dr. João Ramos de Souza,,CEMADEN,Pluviométrica,RJ
13,0.0,RIO DE JANEIRO,330455719A,3304557,,,,2015-05-06 13:19:01.353,2015-05-06 13:19:01.353,2025-06-26 07:03:35.434,2025-09-09 12:00:32.000,7600,11,1,-22.9922,-43.367,Jacarepaguá,,CEMADEN,Pluviométrica,RJ
14,0.0,RIO DE JANEIRO,330455718A,3304557,,,,2015-05-14 14:45:28.982,2015-05-14 14:45:28.982,2025-07-01 18:52:28.342,2025-09-09 11:50:26.000,7599,11,1,-22.989,-43.433,Vargem Pequena,,CEMADEN,Pluviométrica,RJ
15,0.0,RIO DE JANEIRO,330455716A,3304557,,,,2015-05-20 16:05:42.233,2015-05-20 16:05:42.233,2025-09-08 20:45:58.941,2025-09-09 10:40:24.000,7597,11,1,-22.921,-43.227,CIEP Samuel Wainer,,CEMADEN,Pluviométrica,RJ
16,0.0,RIO DE JANEIRO,330455715A,3304557,,,,2015-08-04 12:58:24.170,2015-08-04 12:58:24.170,2024-09-15 03:36:18.534,2024-09-15 01:30:24.000,7596,11,1,-22.93,-43.25,Andaraí,,CEMADEN,Pluviométrica,RJ
17,0.0,RIO DE JANEIRO,330455714A,3304557,,,,2015-07-22 13:24:23.687,2015-07-22 13:24:23.687,2025-04-24 20:20:05.277,2025-04-24 18:20:20.000,7595,11,1,-22.929,-43.228,Salgueiro,,CEMADEN,Pluviométrica,RJ
18,0.0,RIO DE JANEIRO,330455713A,3304557,,,,2015-04-16 19:27:51.603,2015-04-16 19:27:51.603,2025-06-26 07:16:15.456,2025-09-09 11:10:27.000,7594,11,1,-22.8689,-43.4507,Padre Miguel,,CEMADEN,Pluviométrica,RJ
19,0.0,RIO DE JANEIRO,330455712A,3304557,,,,2015-04-16 18:07:00.027,2015-04-16 18:07:00.027,2025-09-02 18:21:09.815,2025-09-09 12:00:48.000,7593,11,1,-22.864,-43.425,Realengo Batan,,CEMADEN,Pluviométrica,RJ
20,0.0,RIO DE JANEIRO,330455711A,3304557,,,,2015-04-28 13:48:37.861,2015-04-28 13:48:37.861,2025-05-24 03:11:57.786,2025-09-09 11:10:21.000,7592,11,1,-22.8897,-43.7175,Santa Cruz,,CEMADEN,Pluviométrica,RJ
